ID,Name,Type,Website,Purpose,Meeting Day,Meeting Location
3,Afrikan Student Union,Cultural,http://asuatsdsu.weebly.com,The purpose of the Afrikan Student Union (ASU) is to develop a sensitive environment for the Afrikan Student at San Diego State University. A positive atmosphere will be obtained by organizing retention programs with goals of enhancing individual academic performance making campus resources available and to instill pride and self esteem through the study of Afrikan History and culture.,Wednesday 2:45 - 4:30 pm,Park Blvd Suite
7,Alpha Chi Omega Sorority,Social Sorority,http://alwaysalphachiomega.org,"The purpose of our organization is the philanthropic event held annually to raise money for Becky's House, a non-profit organization protecting and providing women who are dealing with domestic violence.  We also support and raise money throughout the year and participate in other fundraisers to support other organizations charities.",Mondays 7:30 PM,Alpha Chi Omega Chapter House
10,Alpha Epsilon Pi Fraternity,Social Fraternity,http://www.aepisd.com,"Our basic purpose is to provide the opportunity for a Jewish man to be able to join a Jewish organization whose purpose is not specifically religious, but rather social and cultural in nature.    Alpha Epsilon Pi is a Jewish fraternity, though non-discriminatory and open to all who are willing to espouse its purpose and values.",Sundays 7:00 PM,5717 Lindo Paseo
12,Alpha Kappa Psi Professional Business Fraternity,Academic Major Related,http://www.sdsuakpsi.org,"Alpha Kappa Psi is recognized as the premier developer of principled business leaders. Membership includes participation in social, community service, and funding events with a focus on professional development.",Thursday 7pm,TBD
14,Alpha Phi Gamma Sorority,Social Sorority,http://sdalphaphigamma.wixsite.com/sdaphig,"The purpose of Alpha Phi Gamma is to bring together all women of different nationalities through the bonds of friendship and sisterhood. Alpha Phi Gamma exist to provide service and Asian Awareness to the university and the surrounding community for the betterment of society. It promotes scholarship, and academic excellence, personal development and leadership.",Sunday 7pm,"Visionary Suite, Student Union"
15,Alpha Phi Omega,Service & Support,http://www.aposdsu.org,"Alpha Phi Omega is San Diego State University's premier, gender-inclusive community service organization which fosters personal and professional development under the principles of leadership, friendship, and service.",Every Monday at 7:00PM,
16,Alpha Phi Sorority,Social Sorority,http://www.alphaphisdsu.com,"The purpose of our orginization is to create strong bonds of sisterhood and commitment, as well as to hold ourselves to the highest standard. We strive to promote academic excellence and serve our community and our campus in a proactive and example setting way.",Mondays 7:00 PM,Alpha Phi Chapter House or On Campus Classroom
19,American Institute of Aeronautics & Astronautics (AIAA),Academic Major Related,http://aiaasdsu.com,"To advance the arts, sciences, and technology of aeronautics and astronautics, and to promote the professionalism of those engaged in these pursuits.",TBD,TBD
20,American Marketing Association (AMA),Academic Major Related,http://www.sdsuama.com,"The American Marketing Association chapter at San Diego State University connects students of all majors to real world industry-leading professionals. We host community networking events, social events, and personal brand building workshops. Our goal is to help our members best prepare for their future careers post college!",Tuesdays 5:00-6:00 pm,In Person
21,American Medical Student Association,Academic Major Related,http://sdsuamsa.weebly.com,"The American Medical Student Association is the oldest and largest independent association of physicians-in-training in the United States. AMSA SDSU is the pre-medical chapter at San Diego State University offering its members various opportunities within the pre-health community. Some of the opportunities includes but are not limited to volunteering with the local organizations, shadowing physicians, guest speaker panels, professional development workshops, medical school road trips, and much more. Through our organization, you will meet and potentially gain lifelong friends to accompany you through the long and arduous journey of medicine!",Wednesdays at 5:30 p.m. - 6:30 p.m.,Presidential suite (Floor 3)
23,American Society of Mechanical Engineers (ASME),Academic Major Related,http://sdsuasme.weebly.com/,"The stated purposes of American Society of Mechanical Engineers at San Diego State University are: 1.	to provide resources, plan events, and facilitate programs that encourage and prepare mechanical engineering (ME) students to participate in a.	academic studies, design projects, and research; b.	career planning and the pursuit of employment in the engineering industry;  c.	social activities and community development; 2.	to promote mechanical engineering on campus at SDSU and in the the San Diego community;  3.	to recognize outstanding contributions on behalf of students, staff, and faculty to the ME Department, the College of Engineering, and to the global engineering community.",Tuesday 12:00pm,Visionary Sweet
